,Product_ID,Comment,Skin_Tone,Skin_Type
0,1058331261,This perfect sunscreen The texture bit runny glides skin makes look glowy I wear makeup often never pills interferes makeup It looks great favourite sunscreen put The packaging also super great leak,Light Medium,Combination
1,1058331261,Overall nonirritating inexpensive sunscreen I would repurchase I find need use moisturizer sunscreen alone feel little drying The biggest drawback quite shiny case many waterproof sunscreens I still searching holy grail sunscreen would hesitate use future,Light,Combination
2,1058331261,I previously lover purito chemical sunscreen really disappointed news broke actual spf level I think I could ever find replacement I saw Dr Dray recommend So glad I bought Great lightweight formula dry I combo skin dry lately due heater cold weather zero whitecast Totally love continue buy,Light,Combination
3,1058331261,Very moisturizing dry skim NO white cast Love way face feels applying Works well w makeup,Light,Dry
4,1058331261,I really wanted get times skin sensitive I still wanto reach water resistant option This bother skin,Light,Dry
5,1058331261,I understand always stock Super elegant formula If want alcohol fragrance free option ticks boxes It slightly dewy finish extreme people oily skin,Light,Oily
6,1058331261,I bought I needed new sunscreen read good reviews I finished bottle 6 months I really enjoyed using liked scent Definitely recommend,Tan,Combination
7,1058331261,This summer I really hard time finding right SPF beach time I came across KissMe Mommy UK Aqua Milk It easy spread sinks quickly water resistant win book It great normal slightly dry skin leave dry keeps dewy I hope I able buy next year enjoy beach time,Light,Normal
8,1058331261,Love would using year around This Canmake Clear best dry skin SPFs affecting eyes hydrating day long If oily skin probably would feel heavy summer better use winter For winter sometimes I also apply hydrating cream tretinoin really drying,Light,Dry
9,1058331261,Great keeping oil shine bay day It gets better reapply shiny first application really helps keep skin dry I really like I adives dry skin,Light,Normal
10,1058331261,This sunscreen really good give white cast SPF perfect skin It feels really light smooth face kind dewy aswell,Light,Dry
11,1058331261,I bought sunscreen since Dr Dray recommended I disappointed It spreads well without leaving white cast sticky absorbs quickly I like contain alcohol I usually buy japanese sunscreens also waterproof fragrance free Great purchase,Fair,Combination
12,1058331261,I like sunscreen good sunscreen filters It pill sting eyes I bought 5 I apply 1 25 ml face reaply least twice day I need lot sunscreen It slight white cast 5 min application goes away,Fair,Combination
13,1058331261,I absolute love one My boyfriend dark skin doens leave white cast Love,Light,Dry
14,1058331261,After intense sunscreen hunt I picked Japanese sunscreen I hate fragrance product none There also white cast I excited order,Medium,Normal
15,1058331261,Finally strong spf greassy Feels lihgt important I trust provide protection I need without making skin look white shiny This second time I use deffinitelly buy,Light Medium,Combination
16,1058331261,It good sunscreen I glad sting eyes I looking sunscreen sting eyes I use skin around besides Purito Comfy Water I found I used entire face besides shiny oily skin good sunscreen,Light,Oily
17,1058331261,I bought bunch sunscreens lately one I like Nor casty skin nourishing pilling stinging Perfect,Light,Dry
18,1058331261,This sunscreen lightweight fragrance It cost effective dries light,Medium,Combination
19,1058331261,Best sunscreen ever used plus cheap I used many sunscreen one really best Would recommend,Fair,Combination
20,1058331261,I bought sunscreen recently arrived It seems like promising sunscreen It apparently alcohol fragrance free It also 3 chemical sunscreen filters I opened yet I know texture,Light,Oily
21,1058331261,Good sunscreen I prefer mermaid skin still It little rich skin Might good dry skin,Light,Combination
22,1058331261,Feels nourishing cooling skin Moisturizing break I sensitive skin sting contain alcohol fragrance I like It pill difficult find,Light,Combination
23,1058331261,I must warn shinyyyyyyy fine I super sensitive skin product sting really moisturizes skin pill I already 3rd package plan continue repurchase,Light Medium,Combination
24,1058331261,A nice sunscreen feel suffocating I like use swimming summer I still reapply I get least face little protected ocean I want try exercising well,Fair,Combination
25,1058331261,I tan skin rosacea holy grail sunscreen I caste inflame rosacea Exactly I want sunscreen It shiny summer great colder weather,Tan,Normal
26,1058331261,I using sunscreen month far I love sunscreen much It lightweight hydrating nice winter months leaves slightly dewy finish Also looks good makeup Only downside chemical sunscreen I prefer mineral since chemical sunscreen white cast Also took month get I buy another advance I completely run Other 2 things I love,Medium,Combination
27,1058331261,I tried sunscreens chemical physical would either protect skin would leave weird sticky feeling make break ran quickly This one perfect though I broken noticed skin redness decrease dramatically I guarantee leave white cast darker skin tones I believe,Light,Combination
28,1058331261,This one first Asian sunscreens I used definitely one got wearing sunscreen daily Works different seasons lightweight feel heavy skin Shout Dr Dray talking sunscreen One best I ever worn I wish came bigger tube,Fair,Combination
29,1058331261,I long history sunscreen I 49 I lightest northern European skin reddish hair blue eyes So high sun protection always important I tried many European Asian sunscreens I absolutely love It moisturising sensitive slightly dry skin looks nice even makeup I buy sure,Fair,Dry
30,1058331261,Absolutely love SPF It hydrating I skin feels plumped almost immediately use When first applied stays little greasy absorbs quite quickly minutes It pile even layer multiple products great follow multiple steps skincare routine I say sting little around eyes passes minutes Overall great SPF,Fair,Dry
31,1058331261,This sunscreen works well gentle enough dry sensitive skin I like lot much canmake mermaid gel one,Fair,Dry
32,1058331261,I much like sunscreen really like thin Not greasy burn sinks quickly skin It works well foundations Why winter In summer I like UVA protection able provide,Fair,Dry
33,1058331261,It good sunscreen It works perfectly dry skin type,Medium,Dry
34,1058331261,I love goes lightly blends well I tan skin I worried white cast I reason,Tan,Oily
35,1058331261,favourite sunscreen ever started trying sunscreens available nothing compares,Tan,Oily
36,1058331261,I tried sunscreen basis YouTube influencer recommendation It moisturising sunscreen absorbs well onto skin high protection It fragrance free blends well For I experience eye sting product I cannot use near eyes I use mineral sunscreen eyes problem Easy reapplication throughout day It leave bit shine waterproof sunscreen I dry skin bother A great everyday sunscreen,Light Medium,Dry
37,1058331261,This favourite year around sunscreen I used many bottles Creamy slightly sticky heavy texture Its never fill always big strugle sunscreens An vers longlasting Never caused troubles face,Fair,Combination
38,1058331261,GREAT SPF No smell white cast pilling make dry skin It nice texture easy work I noticed gives skin nice glow I literally nothing bad say SPF definitely worth try,Light,Dry
39,1058331261,It light weight feel heavy skin,Light,Combination
40,1058331261,This amazing sunscreen And makes one best unlike several others alcohol It nice consistency little thicker side I think makes perfect winter time That I love top sunscreen great helping keep skin feeling moisturized air dry I wear one much summer thick feels I I wear moisturizer underneath This enough It also scent leave white cast I used sunscreen 4 months straight noticed I getting hyperpigmentation tan lines face,Very Deep,Combination
41,1058331261,I love spf baby easy apply leaves white marks quickly absorbed skin,Light,Combination
42,1058331261,like sunscreen new favorite really nice finish texture put lot really feel face,Light Medium,Normal
43,1058331261,The consistency watery sunscreen It goes nicely It takes little bit dry It leaves dewy sheen skin greasy I like Its bit sticky better many sunscreens I would repurchase,Medium,Normal
44,1058331261,sunscreen feels light skin leaves smooth dewy finish love also didnt dry irritate skin like sunscreens tried like canmake clear sunscreen think ive found new holy grail many former faves discontinued sunscreen scandal next time stock im definitely hoarding many tubes,Light Medium,Combination
45,1058331261,This best sunscreen No scent sting eyes easy apply weightless skin Kids love I,Fair,Normal
46,1058331261,I enjoy using everyday sunscreen whether working indoors day making trip grocery store Its lightweight moisturizing leaves white cast fragrance melts skin quickly leaves nice dewy finish Its nice size carry handbag application well Even husband uses stuff,Tan,Combination
